gid,emd_cd,emd_nm_k,emd_nm_e,sgg_cd,sgg_nm_k,sgg_nm_e,sido_cd,sido_nm_k,sido_nm_e,value,stats_year,raw_d_year,geometry,구분
다라27bb68bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,4.107,2022,202210,"MULTIPOLYGON (((927750 1668750, 927750 1669000, 928000 1669000, 928000 1668750, 927750 1668750)))",종합병원
다라29aa69aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.23,2022,202210,"MULTIPOLYGON (((929000 1669000, 929000 1669250, 929250 1669250, 929250 1669000, 929000 1669000)))",종합병원
다라28aa69ba,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.992,2022,202210,"MULTIPOLYGON (((928000 1669500, 928000 1669750, 928250 1669750, 928250 1669500, 928000 1669500)))",종합병원
다라28ba70ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.751,2022,202210,"MULTIPOLYGON (((928500 1670250, 928500 1670500, 928750 1670500, 928750 1670250, 928500 1670250)))",종합병원
다라29aa70aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.689,2022,202210,"MULTIPOLYGON (((929000 1670000, 929000 1670250, 929250 1670250, 929250 1670000, 929000 1670000)))",종합병원
다라28ab70ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.005,2022,202210,"MULTIPOLYGON (((928250 1670250, 928250 1670500, 928500 1670500, 928500 1670250, 928250 1670250)))",종합병원
다라27bb69bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.622,2022,202210,"MULTIPOLYGON (((927750 1669750, 927750 1670000, 928000 1670000, 928000 1669750, 927750 1669750)))",종합병원
다라29aa68bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.488,2022,202210,"MULTIPOLYGON (((929000 1668750, 929000 1669000, 929250 1669000, 929250 1668750, 929000 1668750)))",종합병원
다라28aa68bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.868,2022,202210,"MULTIPOLYGON (((928000 1668750, 928000 1669000, 928250 1669000, 928250 1668750, 928000 1668750)))",종합병원
다라29aa69bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.467,2022,202210,"MULTIPOLYGON (((929000 1669750, 929000 1670000, 929250 1670000, 929250 1669750, 929000 1669750)))",종합병원
다라28ab69aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.396,2022,202210,"MULTIPOLYGON (((928250 1669000, 928250 1669250, 928500 1669250, 928500 1669000, 928250 1669000)))",종합병원
