gid,emd_cd,emd_nm_k,emd_nm_e,sgg_cd,sgg_nm_k,sgg_nm_e,sido_cd,sido_nm_k,sido_nm_e,value,stats_year,raw_d_year,geometry,구분
다라28ab69bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.64,2022,202210,"MULTIPOLYGON (((928250 1669750, 928250 1670000, 928500 1670000, 928500 1669750, 928250 1669750)))",도서관
다라28ab70ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.196,2022,202210,"MULTIPOLYGON (((928250 1670250, 928250 1670500, 928500 1670500, 928500 1670250, 928250 1670250)))",도서관
다라28aa68bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.123,2022,202210,"MULTIPOLYGON (((928000 1668750, 928000 1669000, 928250 1669000, 928250 1668750, 928000 1668750)))",도서관
다라29aa69ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.501,2022,202210,"MULTIPOLYGON (((929000 1669250, 929000 1669500, 929250 1669500, 929250 1669250, 929000 1669250)))",도서관
다라28aa70aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.091,2022,202210,"MULTIPOLYGON (((928000 1670000, 928000 1670250, 928250 1670250, 928250 1670000, 928000 1670000)))",도서관
다라28ba69ba,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.981,2022,202210,"MULTIPOLYGON (((928500 1669500, 928500 1669750, 928750 1669750, 928750 1669500, 928500 1669500)))",도서관
다라28ba69ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.588,2022,202210,"MULTIPOLYGON (((928500 1669250, 928500 1669500, 928750 1669500, 928750 1669250, 928500 1669250)))",도서관
다라28ba68bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.186,2022,202210,"MULTIPOLYGON (((928500 1668750, 928500 1669000, 928750 1669000, 928750 1668750, 928500 1668750)))",도서관
다라29aa69aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.979,2022,202210,"MULTIPOLYGON (((929000 1669000, 929000 1669250, 929250 1669250, 929250 1669000, 929000 1669000)))",도서관
다라28aa69bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.681,2022,202210,"MULTIPOLYGON (((928000 1669750, 928000 1670000, 928250 1670000, 928250 1669750, 928000 1669750)))",도서관
다라28ba69aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.273,2022,202210,"MULTIPOLYGON (((928500 1669000, 928500 1669250, 928750 1669250, 928750 1669000, 928500 1669000)))",도서관
다라28bb69ba,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.79,2022,202210,"MULTIPOLYGON (((928750 1669500, 928750 1669750, 929000 1669750, 929000 1669500, 928750 1669500)))",도서관
다라27bb70aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.07,2022,202210,"MULTIPOLYGON (((927750 1670000, 927750 1670250, 928000 1670250, 928000 1670000, 927750 1670000)))",도서관
다라28aa69ba,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.723,2022,202210,"MULTIPOLYGON (((928000 1669500, 928000 1669750, 928250 1669750, 928250 1669500, 928000 1669500)))",도서관
다라28ba69bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.899,2022,202210,"MULTIPOLYGON (((928500 1669750, 928500 1670000, 928750 1670000, 928750 1669750, 928500 1669750)))",도서관
다라27bb69ba,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.041,2022,202210,"MULTIPOLYGON (((927750 1669500, 927750 1669750, 928000 1669750, 928000 1669500, 927750 1669500)))",도서관
다라28ab69ba,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.957,2022,202210,"MULTIPOLYGON (((928250 1669500, 928250 1669750, 928500 1669750, 928500 1669500, 928250 1669500)))",도서관
다라29aa68bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.987,2022,202210,"MULTIPOLYGON (((929000 1668750, 929000 1669000, 929250 1669000, 929250 1668750, 929000 1668750)))",도서관
다라27ba69ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.537,2022,202210,"MULTIPOLYGON (((927500 1669250, 927500 1669500, 927750 1669500, 927750 1669250, 927500 1669250)))",도서관
다라27bb69ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.758,2022,202210,"MULTIPOLYGON (((927750 1669250, 927750 1669500, 928000 1669500, 928000 1669250, 927750 1669250)))",도서관
다라28ba70aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.08,2022,202210,"MULTIPOLYGON (((928500 1670000, 928500 1670250, 928750 1670250, 928750 1670000, 928500 1670000)))",도서관
다라27ba69aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.718,2022,202210,"MULTIPOLYGON (((927500 1669000, 927500 1669250, 927750 1669250, 927750 1669000, 927500 1669000)))",도서관
다라28aa70ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.885,2022,202210,"MULTIPOLYGON (((928000 1670250, 928000 1670500, 928250 1670500, 928250 1670250, 928000 1670250)))",도서관
다라27bb70ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.133,2022,202210,"MULTIPOLYGON (((927750 1670250, 927750 1670500, 928000 1670500, 928000 1670250, 927750 1670250)))",도서관
