gid,emd_cd,emd_nm_k,emd_nm_e,sgg_cd,sgg_nm_k,sgg_nm_e,sido_cd,sido_nm_k,sido_nm_e,value,stats_year,raw_d_year,geometry,구분
다라28aa68bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.24,2022,202210,"MULTIPOLYGON (((928000 1668750, 928000 1669000, 928250 1669000, 928250 1668750, 928000 1668750)))",생활권공원
다라28ab70aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.252,2022,202210,"MULTIPOLYGON (((928250 1670000, 928250 1670250, 928500 1670250, 928500 1670000, 928250 1670000)))",생활권공원
다라28bb69ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.784,2022,202210,"MULTIPOLYGON (((928750 1669250, 928750 1669500, 929000 1669500, 929000 1669250, 928750 1669250)))",생활권공원
다라28bb68bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.17,2022,202210,"MULTIPOLYGON (((928750 1668750, 928750 1669000, 929000 1669000, 929000 1668750, 928750 1668750)))",생활권공원
다라28aa69aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.928,2022,202210,"MULTIPOLYGON (((928000 1669000, 928000 1669250, 928250 1669250, 928250 1669000, 928000 1669000)))",생활권공원
다라28ab69ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.499,2022,202210,"MULTIPOLYGON (((928250 1669250, 928250 1669500, 928500 1669500, 928500 1669250, 928250 1669250)))",생활권공원
다라28aa69ba,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.798,2022,202210,"MULTIPOLYGON (((928000 1669500, 928000 1669750, 928250 1669750, 928250 1669500, 928000 1669500)))",생활권공원
다라28ba69bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.391,2022,202210,"MULTIPOLYGON (((928500 1669750, 928500 1670000, 928750 1670000, 928750 1669750, 928500 1669750)))",생활권공원
다라29aa69aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.239,2022,202210,"MULTIPOLYGON (((929000 1669000, 929000 1669250, 929250 1669250, 929250 1669000, 929000 1669000)))",생활권공원
다라28ba69aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.329,2022,202210,"MULTIPOLYGON (((928500 1669000, 928500 1669250, 928750 1669250, 928750 1669000, 928500 1669000)))",생활권공원
다라28ba68bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.776,2022,202210,"MULTIPOLYGON (((928500 1668750, 928500 1669000, 928750 1669000, 928750 1668750, 928500 1668750)))",생활권공원
다라28bb69ba,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.434,2022,202210,"MULTIPOLYGON (((928750 1669500, 928750 1669750, 929000 1669750, 929000 1669500, 928750 1669500)))",생활권공원
다라27bb70aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.145,2022,202210,"MULTIPOLYGON (((927750 1670000, 927750 1670250, 928000 1670250, 928000 1670000, 927750 1670000)))",생활권공원
다라28aa69bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.756,2022,202210,"MULTIPOLYGON (((928000 1669750, 928000 1670000, 928250 1670000, 928250 1669750, 928000 1669750)))",생활권공원
다라27bb70ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.426,2022,202210,"MULTIPOLYGON (((927750 1670250, 927750 1670500, 928000 1670500, 928000 1670250, 927750 1670250)))",생활권공원
다라28ba69ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.261,2022,202210,"MULTIPOLYGON (((928500 1669250, 928500 1669500, 928750 1669500, 928750 1669250, 928500 1669250)))",생활권공원
다라29aa69ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.938,2022,202210,"MULTIPOLYGON (((929000 1669250, 929000 1669500, 929250 1669500, 929250 1669250, 929000 1669250)))",생활권공원
다라27ba69ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.608,2022,202210,"MULTIPOLYGON (((927500 1669250, 927500 1669500, 927750 1669500, 927750 1669250, 927500 1669250)))",생활권공원
다라27bb69ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.165,2022,202210,"MULTIPOLYGON (((927750 1669250, 927750 1669500, 928000 1669500, 928000 1669250, 927750 1669250)))",생활권공원
다라27bb69ba,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.112,2022,202210,"MULTIPOLYGON (((927750 1669500, 927750 1669750, 928000 1669750, 928000 1669500, 927750 1669500)))",생활권공원
다라27bb69bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.384,2022,202210,"MULTIPOLYGON (((927750 1669750, 927750 1670000, 928000 1670000, 928000 1669750, 927750 1669750)))",생활권공원
다라28ab69ba,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.357,2022,202210,"MULTIPOLYGON (((928250 1669500, 928250 1669750, 928500 1669750, 928500 1669500, 928250 1669500)))",생활권공원
다라25ab68ba,46170103,안창동,Anchang-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,4.885,2022,202210,"MULTIPOLYGON (((925250 1668500, 925250 1668750, 925500 1668750, 925500 1668500, 925250 1668500)))",생활권공원
다라25aa68ba,46170103,안창동,Anchang-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,4.702,2022,202210,"MULTIPOLYGON (((925000 1668500, 925000 1668750, 925250 1668750, 925250 1668500, 925000 1668500)))",생활권공원
다라26aa69ab,46170103,안창동,Anchang-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,4.094,2022,202210,"MULTIPOLYGON (((926000 1669250, 926000 1669500, 926250 1669500, 926250 1669250, 926000 1669250)))",생활권공원
다라25bb69ab,46170103,안창동,Anchang-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,4.229,2022,202210,"MULTIPOLYGON (((925750 1669250, 925750 1669500, 926000 1669500, 926000 1669250, 925750 1669250)))",생활권공원
다라25ba68aa,46170103,안창동,Anchang-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.684,2022,202210,"MULTIPOLYGON (((925500 1668000, 925500 1668250, 925750 1668250, 925750 1668000, 925500 1668000)))",생활권공원
다라25ab69ab,46170103,안창동,Anchang-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,4.731,2022,202210,"MULTIPOLYGON (((925250 1669250, 925250 1669500, 925500 1669500, 925500 1669250, 925250 1669250)))",생활권공원
다라27ab69ba,46170103,안창동,Anchang-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.762,2022,202210,"MULTIPOLYGON (((927250 1669500, 927250 1669750, 927500 1669750, 927500 1669500, 927250 1669500)))",생활권공원
다라26bb69aa,46170103,안창동,Anchang-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.237,2022,202210,"MULTIPOLYGON (((926750 1669000, 926750 1669250, 927000 1669250, 927000 1669000, 926750 1669000)))",생활권공원
다라25ba68ba,46170103,안창동,Anchang-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.973,2022,202210,"MULTIPOLYGON (((925500 1668500, 925500 1668750, 925750 1668750, 925750 1668500, 925500 1668500)))",생활권공원
다라25aa68bb,46170103,안창동,Anchang-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,5.324,2022,202210,"MULTIPOLYGON (((925000 1668750, 925000 1669000, 925250 1669000, 925250 1668750, 925000 1668750)))",생활권공원
