충전소명,충전소 주소,대분류,소분류,충전소ID,충전기ID,충전기타입,충전용량,충전방식(단독_동시),충전기상태,상태정보수신일,마지막 충전시작일시,마지막 충전종료일시,충전중 충전시작일시,2023년 10월 충전횟수,2023년 10월 충전량,2023년 11월 충전횟수,2023년 11월 충전량,2023년 12월 충전횟수,2023년 12월 충전량,2024년 1월 충전횟수,2024년 1월 충전량
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,20,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:15,2023-11-18 14:47,2023-11-18 15:28,,0,0.0,3,20.86,0,0.0,0,0.0
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,21,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:14,2024-01-27 14:03,2024-01-27 14:43,,1,11.96,4,41.59,0,0.0,4,52.14
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,22,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:14,2024-01-20 10:00,2024-01-20 10:20,,1,17.82,2,19.37,0,0.0,1,7.11
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,23,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:14,2024-01-26 16:11,2024-01-26 16:13,,4,60.45,2,11.8,3,32.93,5,70.95
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,24,DC콤보(완속),완속(30kW단독),단독,통신이상,2024-01-17 16:16,2023-11-12 16:25,2023-11-12 16:40,2024-01-17 15:50,3,49.3,3,20.2,0,0.0,1,0.12
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,25,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:14,2024-01-28 14:00,2024-01-28 14:38,,2,37.99,3,28.66,1,3.29,1,18.44
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,26,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:00,2024-02-06 9:20,2024-02-06 10:00,,4,71.09,5,49.08,6,87.93,20,320.2
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,27,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:14,2024-02-04 12:52,2024-02-04 13:32,,4,39.87,6,39.95,0,0.0,5,41.75
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,28,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:14,2024-01-29 15:15,2024-01-29 15:55,,2,28.05,2,19.88,1,16.92,5,80.53
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,29,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:14,2024-01-26 12:36,2024-01-26 13:16,,3,47.05,1,0.43,0,0.0,3,46.5
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,30,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:03,2024-01-11 12:37,2024-01-11 13:15,,1,19.46,1,0.34,0,0.0,2,19.16
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,31,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:14,2023-12-23 15:19,2023-12-23 15:44,,1,19.36,1,0.52,1,11.49,1,0.21
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,32,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:14,2024-01-19 18:28,2024-01-19 19:08,,4,44.4,2,7.79,1,1.28,1,19.44
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,33,DC콤보,급속(100kW단독),단독,사용가능,2024-02-06 10:14,2024-02-04 13:48,2024-02-04 14:15,,9,240.84,13,305.24,35,695.27,71,1366.11
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,34,DC콤보,급속(100kW단독),단독,사용가능,2024-02-06 10:14,2024-02-02 14:17,2024-02-02 14:33,,9,319.57,16,386.12,0,0.0,44,971.6
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,35,DC콤보,급속(100kW단독),단독,사용가능,2024-02-06 10:14,2024-02-04 23:31,2024-02-05 0:08,,5,97.49,10,229.17,13,327.81,38,805.35
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,36,DC콤보,급속(100kW단독),단독,사용가능,2024-02-06 10:14,2024-02-02 16:10,2024-02-02 16:50,,15,304.03,3,45.64,0,0.0,27,687.35
